ASPRequiredOptionalDerived,BusinessLine,DataElementLabel,Definition,Definition,ElementNumber,ElementOrder,ExampleValue,FAADS+ElementNumber,FPDSDefinition,FPDSElementLabel,FPDSElementNumber,FSRSElementName,Grouping,Instructions,MaxFieldLength,RequiredOptional,SAMElementName(ReferenceSAMDataDictionaryv7),Unnamed:12,Unnamed:13,ValidDataType,ValidationRules,file,DataCategory
,,AllocationTransferAgencyIdentifier,Report date,The allocation agency identifies the department or agency that is receiving funds through an allocation (non-expenditure) transfer.,51(A),1,20,,,,,,,Include valid agency ID as per Common Government-wide Accounting Classification (CGAC),3,Conditional per Validation Rule,,,,string,"A1, A20",File C - Award Financial,Account Level Information
,,AgencyIdentifier,Report date,The agency code identifies the department or agency that is responsible for the account.,51(B),2,97,,,,,,,Include valid agency ID as per Common Government-wide Accounting Classification (CGAC),3,Required,,,,string,"A1, A20",File C - Award Financial,Account Level Information
,,BeginningPeriodOfAvailability,Report date,"In annual and multi-year funds, the beginning period of availability identifies the first year of availability under law that an appropriation account may incur new obligations.",51(C),3,2014,,,,,,,,4,Conditional per Validation Rule,,,,string,A1,File C - Award Financial,Account Level Information
,,EndingPeriodOfAvailability,Report date,"In annual and multi-year funds, the end period of availability identifies the last year of funds availability under law that an appropriation account may incur new obligations.",51(D),4,2015,,,,,,,,4,Conditional per Validation Rule,,,,string,A1,File C - Award Financial,Account Level Information
,,AvailabilityTypeCode,Report date,"In appropriations accounts, the availability type code identifies an unlimited period to incur new obligations; this is denoted by the letter X.",51(E),5,X,,,,,,,Can be X or a blank.,1,Conditional per Validation Rule,,,,string,"A1, A21",File C - Award Financial,Account Level Information
,,MainAccountCode,Report date,The main account code identifies the account in statute.,51(F),6,1552,,,,,,,,4,Required,,,,string,A1,File C - Award Financial,Account Level Information
,,SubAccountCode,Report date,This is a component of the TAS. Identifies a Treasury-defined subdivision of the main account. This field cannot be blank. Subaccount 000 indicates the Parent account.,51(G),7,0,,,,,,,"For parent accounts (i.e., when no subaccount is available) input 000.",3,Required,,,,string,A1,File C - Award Financial,Account Level Information
,,ProgramActivityName,Report date,"The definition for this element appears in Section 200 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

Name of a specific activity or project as listed in the program and financing schedules of the annual budget of the United States Government.  ",56(A),12,Preschool grants,,,,,,,This is for the name of the program activity attributable to the Award.,164,Optional,,,,string,B9,File C - Award Financial,Account Level Information
,,ProgramActivityCode,Report date,"The definition for this element appears in Section 200 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

Code of a specific activity or project as listed in the program and financing schedules of the annual budget of the United States Government.  ",56(B),13,2,,,,,,,This is for the numerical code of the program activity attributable to the Award.,4,Optional,,,,string,B10,File C - Award Financial,Account Level Information
,,ObjectClass,Report date,"The definition for this element appears in Section 83 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

Categories in a classification system that presents obligations by the items or services purchased by the Federal Government. ",50,14,254,,,,,,,Includes all Object Class Codes for Awards. Each specific object class is defined in OMB Circular A-11 § 83.6.,4,Required,,,,integer,B11,File C - Award Financial,Account Level Information
