File,DataElementLabel,Definition,Use,Grouping
File A - Appropriations Account,AllocationTransferAgencyIdentifier,The allocation agency identifies the department or agency that is receiving funds through an allocation (non-expenditure) transfer.,Conditional per Validation Rule,TAS Component
File A - Appropriations Account,AgencyIdentifier,The agency code identifies the department or agency that is responsible for the account.,Required,TAS Component
File A - Appropriations Account,BeginningPeriodOfAvailability,"In annual and multi-year funds, the beginning period of availability identifies the first year of availability under law that an appropriation account may incur new obligations.",Conditional per Validation Rule,TAS Component
File A - Appropriations Account,EndingPeriodOfAvailability,"In annual and multi-year funds, the end period of availability identifies the last year of funds availability under law that an appropriation account may incur new obligations.",Conditional per Validation Rule,TAS Component
File A - Appropriations Account,AvailabilityTypeCode,"In appropriations accounts, the availability type code identifies an unlimited period to incur new obligations; this is denoted by the letter ""X"".",Conditional per Validation Rule,TAS Component
File A - Appropriations Account,MainAccountCode,The main account code identifies the account in statute.,Required,TAS Component
File A - Appropriations Account,SubAccountCode,This is a component of the TAS. Identifies a Treasury-defined subdivision of the main account. This field cannot be blank. Subaccount 000 indicates the Parent account.,Required,TAS Component
File A - Appropriations Account,TotalBudgetaryResources_CPE,Budgetary resources mean amounts available to incur obligations in a given year. Budgetary resources consist of new budget authority and unobligated balances of budget authority provided in previous years.,Required,Appropriation Account Balances: Budget Authority Available
File A - Appropriations Account,BudgetAuthorityAppropriatedAmount_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Appropriation means a provision of law (not necessarily in an appropriations act) authorizing the expenditure of funds for a given purpose. Usually, but not always, an appropriation provides budget authority.",Required,Appropriation Account Balances: Budget Authority Available
File A - Appropriations Account,BudgetAuthorityUnobligatedBalanceBroughtForward_FYB,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

For unexpired accounts: Amount of unobligated balance of appropriations or other budgetary resources carried forward from the preceding year and available for obligation without new action by Congress. For expired accounts: Amount of expired unobligated balances available for upward adjustments of obligations. ",Conditional per Validation Rule,Appropriation Account Balances: Budget Authority Available
File A - Appropriations Account,AdjustmentsToUnobligatedBalanceBroughtForward_CPE,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Changes to unpaid obligations that occurred in a prior fiscal year and that were not recorded in the unpaid obligations as of October 1 of the current fiscal year. 

",Required,Appropriation Account Balances: Budget Authority Available
File A - Appropriations Account,OtherBudgetaryResourcesAmount_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

New borrowing authority, contract authority, and spending authority from offsetting collections provided by Congress in an appropriations act or other legislation, or unobligated balances of budgetary resources made available in previous legislation, to incur obligations and to make outlays.
",Conditional per Validation Rule,Appropriation Account Balances: Budget Authority Available
File A - Appropriations Account,ContractAuthorityAmountTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Contract authority is a type of budget authority that permits you to incur obligations in advance of an appropriation, offsetting collections, or receipts to make outlays to liquidate the obligations. Typically, the Congress provides contract authority in an authorizing statute to allow you to incur obligations in anticipation of the collection of receipts or offsetting collections that will be used to liquidate the obligations. ",Conditional per Validation Rule,Appropriation Account Balances: Budget Authority Available
File A - Appropriations Account,BorrowingAuthorityAmountTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Borrowing authority is a type of budget authority that permits obligations and outlays to be financed by borrowing. 


",Conditional per Validation Rule,Appropriation Account Balances: Budget Authority Available
