Recipient,Fed_Funding_Amt,LONGITUDE,LATITUDE
University of Maryland-College Park,13699989,-76.939494,38.985379
University of Michigan-Ann Arbor,11716689,-83.743121,42.276061
University of Colorado Boulder,10975163,-105.267061,40.004415
Cornell University,10032943,-76.483489,42.447199
University of Washington-Seattle Campus,9915112,-122.313115,47.656213
Harvard University,9689596,-71.118177,42.374429
Massachusetts Institute of Technology,8431109,-71.092115,42.360095
University of Wisconsin-Madison,8357129,-89.405356,43.073858
Georgia Institute of Technology-Main Campus,8319543,-84.396019,33.773732
The University of Texas at Austin,7677311,-97.73924,30.286598
Johns Hopkins University,7141990,-76.620799,39.32838
Pennsylvania State University-Main Campus,6973934,-77.861644,40.800732
Stanford University,6911410,-122.168826,37.426967
University of California-San Diego,6896180,-117.237793,32.876598
University of Minnesota-Twin Cities,6808274,-93.235352,44.977886
Purdue University-Main Campus,6604823,-86.914435,40.428206
Texas A & M University-College Station,6349990,-96.340322,30.613226
University of Arizona,6184396,-110.950769,32.232071
Arizona State University-Tempe,6002220,-111.934629,33.422247
Columbia University in the City of New York,5910414,-73.961885,40.808286
University of California-Los Angeles,5856592,-118.443901,34.068892
University of California-Davis,5764897,-121.751958,38.539895
University of California-Berkeley,5733869,-122.260423,37.871969
University of Utah,5280491,-111.846044,40.762484
University of Illinois at Urbana-Champaign,5228290,-88.230309,40.108864
Ohio State University-Main Campus,5079713,-83.009001,39.998389
University of Florida,4751276,-82.339958,29.649428
Princeton University,4709965,-74.663603,40.34853
Virginia Polytechnic Institute and State University,4450554,-80.423229,37.228572
University of Massachusetts-Amherst,4428805,-72.52617,42.386162
University of New Hampshire-Main Campus,4358886,-70.934512,43.134235
Michigan State University,4220670,-84.476111,42.73212
Oregon State University,4218902,-123.274721,44.56274
California Institute of Technology,4188063,-118.12574,34.139275
Iowa State University,4081608,-93.648353,42.026368
Yale University,4025877,-72.926688,41.311158
University of Connecticut,3911185,-72.247969,41.806261
North Carolina State University at Raleigh,3831970,-78.674517,35.785111
University of Chicago,3784201,-87.601196,41.78917
Northwestern University,3732541,-87.673653,42.058377
University of California-Irvine,3653253,-117.841248,33.648434
Colorado State University-Fort Collins,3645794,-105.08083,40.574759
University of Hawaii at Manoa,3530942,-157.816607,21.292648
University of Georgia,3470421,-83.374049,33.956428
University of Delaware,3415936,-75.752917,39.679574
Indiana University-Bloomington,3305955,-86.526904,39.166383
Rice University,3260232,-95.403625,29.716485
Duke University,3200690,-78.94226,36.00159
Boston University,3193388,-71.09984,42.349581
Catholic University of America,3182484,-76.998961,38.935796
University of Kentucky,3097159,-84.505653,38.035818
Washington State University,3019369,-117.158168,46.730448
Washington University in St Louis,2963945,-90.311639,38.648125
University of Notre Dame,2949428,-86.238959,41.703058
University of California-Riverside,2880436,-117.331098,33.97588
University of Southern California,2877466,-118.283858,34.021058
Carnegie Mellon University,2819618,-79.942914,40.444616
