"name","size","city","state"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"FORT WORTH","TX"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"ORLANDO","FL"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"GRAND PRAIRIE","TX"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"SUNNYVALE","CA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"MOORESTOWN","NJ"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"LIVERPOOL","NY"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"PALMDALE","CA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"LEXINGTON","KY"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"MANASSAS","VA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"ROCKVILLE","MD"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"UNIONDALE","NY"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"MARIETTA","GA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"GAITHERSBURG","MD"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"KING OF PRUSSIA","PA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"BALTIMORE","MD"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"OWEGO","NY"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"ARCHBALD","PA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"RIVIERA BEACH","FL"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"COLORADO SPRINGS","CO"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"BETHESDA","MD"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"HUNTSVILLE","AL"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"GREENBELT","MD"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"SANTA MARIA","CA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"AKRON","OH"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"CHERRY HILL","NJ"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"BOULDER","CO"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"HERNDON","VA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"PALO ALTO","CA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"NEW ORLEANS","LA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"COURTLAND","AL"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"NEWTOWN","PA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"CHELMSFORD","MA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"GREAT NECK","NY"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"MITCHELL FIELD","NY"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"BELLEVUE","NE"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"GOODYEAR","AZ"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"SAINT PAUL","MN"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"COLORADO SPRIN","CO"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"SYRACUSE","NY"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"EAGAN","MN"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"SAN DIEGO","CA"
"LOCKHEED MARTIN CORPORATION",8995884998.51,"LITTLETON","CO"
"RAYTHEON COMPANY",3366811128.45,"TUCSON","AZ"
"RAYTHEON COMPANY",3366811128.45,"EL SEGUNDO","CA"
"RAYTHEON COMPANY",3366811128.45,"SUDBURY","MA"
"RAYTHEON COMPANY",3366811128.45,"AURORA","CO"
"RAYTHEON COMPANY",3366811128.45,"MARLBOROUGH","MA"
"RAYTHEON COMPANY",3366811128.45,"WOBURN","MA"
"RAYTHEON COMPANY",3366811128.45,"MCKINNEY","TX"
"RAYTHEON COMPANY",3366811128.45,"ANDOVER","MA"
"RAYTHEON COMPANY",3366811128.45,"TEWKSBURY","MA"
"RAYTHEON COMPANY",3366811128.45,"DULLES","VA"
"RAYTHEON COMPANY",3366811128.45,"FULLERTON","CA"
"RAYTHEON COMPANY",3366811128.45,"COLORADO SPRINGS","CO"
"RAYTHEON COMPANY",3366811128.45,"LARGO","FL"
"RAYTHEON COMPANY",3366811128.45,"ABERDEEN PROVING GROUND","MD"
"RAYTHEON COMPANY",3366811128.45,"PORTSMOUTH","RI"
"RAYTHEON COMPANY",3366811128.45,"SAN DIEGO","CA"
"RAYTHEON COMPANY",3366811128.45,"FORT WAYNE","IN"
"RAYTHEON COMPANY",3366811128.45,"WALTHAM","MA"
"RAYTHEON COMPANY",3366811128.45,"INDIANAPOLIS","IN"
"RAYTHEON COMPANY",3366811128.45,"GOLETA","CA"
"RAYTHEON COMPANY",3366811128.45,"NORFOLK","VA"
"RAYTHEON COMPANY",3366811128.45,"MC KINNEY","TX"
"RAYTHEON COMPANY",3366811128.45,"HUNTSVILLE","AL"
"RAYTHEON COMPANY",3366811128.45,"HOUSTON","TX"
"RAYTHEON COMPANY",3366811128.45,"RIVERDALE","MD"
"RAYTHEON COMPANY",3366811128.45,"FAIRDALE","KY"
"RAYTHEON COMPANY",3366811128.45,"ALBUQUERQUE","NM"
"RAYTHEON COMPANY",3366811128.45,"KEYPORT","WA"
