Agency,Subagency,accountID,Title,Obligation
US Agencies - Non-CFO Act,Government Accountability Office,114,Salaries and Expenses,433302677.4
US Agencies - Non-CFO Act,Legislative Branch Boards and Commissions,119,"Salaries and Expenses, Commission on Security and Cooperation in Europe",1691295.95
US Agencies - Non-CFO Act,Legislative Branch Boards and Commissions,122,"International Conferences and Contingencies, House and Senate Expenses",50000
US Agencies - Non-CFO Act,"Courts of Appeals, District Courts, and Other Judicial Services",146,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",369004725.1
US Agencies - Non-CFO Act,Executive Office of the President,166,Compensation of the President,340546.14
US Agencies - Non-CFO Act,Executive Office of the President,170,Data-Driven Innovation,22521.89
US Agencies - Non-CFO Act,Executive Office of the President,172,Partnership Fund for Program Integrity Innovation,0
US Agencies - Non-CFO Act,Executive Office of the President,173,Information Technology Oversight and Reform,21995530.43
US Agencies - Non-CFO Act,Executive Office of the President,174,Unanticipated Needs,0
US Agencies - Non-CFO Act,Executive Office of the President,175,"Salaries and Expenses, Office of Administration",66137059.83
Department of State,Other,176,United States Emergency Refugee and Migration Assistance Fund,5815.93
US Agencies - Non-CFO Act,Other International Assistance Programs,177,Global Environment Facility,96535755
US Agencies - Non-CFO Act,Other International Assistance Programs,178,Contribution to the Asian Development Fund,60227346
US Agencies - Non-CFO Act,Other International Assistance Programs,180,Contribution to the Inter-American Development Bank,21939727
US Agencies - Non-CFO Act,Other International Assistance Programs,181,Contribution to the International Development Association,686815615
US Agencies - Non-CFO Act,Other International Assistance Programs,183,Contribution to the Asian Development Bank,0
US Agencies - Non-CFO Act,Other International Assistance Programs,184,Contribution to the International Bank for Reconstruction and Development,13963421
US Agencies - Non-CFO Act,Other International Assistance Programs,185,Contribution to the International Finance Corporation,0
US Agencies - Non-CFO Act,Other International Assistance Programs,186,Contribution to the African Development Fund,100784147
US Agencies - Non-CFO Act,Other International Assistance Programs,188,Contribution to the African Development Bank,19574175
US Agencies - Non-CFO Act,Other International Assistance Programs,189,Contribution to the Multilateral Investment Guarantee Agency,0
US Agencies - Non-CFO Act,Other International Assistance Programs,191,Contribution to the European Bank for Reconstruction and Development,0
US Agencies - Non-CFO Act,Other International Assistance Programs,193,Debt Restructuring,0
