"Agency","Subagency","accountID","Title","Obligation"
"US Agencies - Non-CFO Act","Legislative Branch, Government Accountability Office",113,"Salaries and Expenses, Government Accountability Office",275517889.23
"US Agencies - Non-CFO Act","Legislative Branch, Legislative Branch Boards and Commissions",119,"Salaries and Expenses, Commission on Security and Cooperation in Europe",1117123.62
"US Agencies - Non-CFO Act","Legislative Branch, Legislative Branch Boards and Commissions",122,"International Conferences and Contingencies, House and Senate   Expenses",50000
"US Agencies - Non-CFO Act","Judicial Branch, Courts of Appeals, District Courts, and Other Judicial Services",150,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",249131577.06
"Department of Agriculture","Office of the Secretary",285,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",546900
"Department of Agriculture","Office of the Secretary",278,"Production, Processing and Marketing, Office of the Secretary, Agriculture",920983.59
"Department of Agriculture","Office of the Secretary",281,"Office of the Assistant Secretary for Administration, Agriculture",0
"Department of Agriculture","Office of the Secretary",282,"Office of the Assistant Secretary for Governmental and Public Affairs, Agriculture",0
"Department of Agriculture","Office of the Secretary",284,"Office of the Under Secretary for Research, Education and Economics, Agriculture",1857827.41
"Department of Agriculture","Office of the Secretary",286,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",497452.29
"Department of Agriculture","Office of the Secretary",287,"Office of the Under Secretary for Rural Development, Agriculture",1107094.64
"Department of Agriculture","Office of the Secretary",288,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",728208.78
"Department of Agriculture","Office of the Secretary",289,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",491197.29
"Department of Agriculture","Office of the Secretary",280,"Departmental Administration, Agriculture",4125.77
"Department of Agriculture","Office of the Secretary",309,"Outreach for Socially Disadvantaged Farmers, Cooperative State Research, Education, and Extension Service, Agriculture",0
"Department of Agriculture","Office of the Secretary",290,"Office of the Assistant Secretary for Civil Rights, Agriculture",448419.83
"Department of Agriculture","Office of the Secretary",296,"Office of Communications, Agriculture",0
"Department of Agriculture","Office of the Secretary",275,"Homeland Security Staff, Agriculture",16354.65
"Department of Agriculture","Office of the Secretary",291,"Office of Tribal Relations, Agriculture",0
"Department of Agriculture","Office of the Secretary",292,"Office of Advocacy and Outreach, Executive Operations, Agriculture",0
"Department of Agriculture","Executive Operations",283,"Office of the Chief Economist, Executive Operations, Agriculture",5303465.61
"Department of Agriculture","Executive Operations",310,"National Appeals Division, Executive Operations, Agriculture",6001072.86
"Department of Agriculture","Executive Operations",306,"Office of Budget and Program Analysis, Executive Operations, Agriculture",4336076.76
"Department of Agriculture","Executive Operations",277,"Expenses, Common Computing Environment, Agriculture",0
"Department of Agriculture","Office of Chief Information Officer",273,"Expenses, Office of the Chief Information Officer, Agriculture",18461475.83
"Department of Agriculture","Office of Chief Financial Officer",274,"Expenses, Office of the Chief Financial Officer, Agriculture",2907378.38
"Department of Agriculture","Office of Inspector General",312,"Office of the Inspector General, Agriculture",46517863.9
"Department of Agriculture","Office of Inspector General",311,"Office of Inspector General - Recovery Act, Agriculture",0
"Department of Agriculture","Office of the General Counsel",294,"Office of Ethics, Agriculture",1652602.8
"Department of Agriculture","Economic Research Service",353,"Economic Research Service, Agriculture",37742155.87
"Department of Agriculture","National Agricultural Statistics Service",354,"National Agricultural Statistics Service, Agriculture",24597301.52
"Department of Agriculture","Agricultural Research Service",342,"Salaries and Expenses, Agricultural Research Service, Agricullture",23923293.66
"Department of Agriculture","Agricultural Research Service",343,"Buildings and Facilities, Agricultural Research Service, Agriculture",2357289.29
"Department of Agriculture","National Institute of Food and Agriculture",350,"Integrated Activities, Cooperative State Research, Education and Extension Service, Agriculture",18846105
"Department of Agriculture","National Institute of Food and Agriculture",315,"Biomass Research and Development, Natural Resource Conservation Service, Agriculture",3816.88
"Department of Agriculture","National Institute of Food and Agriculture",348,"Research and Education Activities, Cooperative State Research, Education, and Extension Service, Agriculture",193185545.45
"Department of Agriculture","National Institute of Food and Agriculture",349,"Buildings and Facilities, Cooperative State Research, Education, and Extension Service, Agriculture",1207258.04
"Department of Agriculture","National Institute of Food and Agriculture",305,"Extension Activities, Cooperative State Research, Education and Extension Service, Agriculture",23820894.88
"Department of Agriculture","Animal and Plant Health Inspection Service",351,"Salaries and Expenses, Animal and Plant Health Inspection Service",523483228.13
"Department of Agriculture","Animal and Plant Health Inspection Service",352,"Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture",150941.93
"Department of Agriculture","Agricultural Marketing Service",299,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",2250000
"Department of Agriculture","Farm Service Agency",308,"Salaries and Expenses, Farm Service Agency, Agriculture",733673370.83
"Department of Agriculture","Farm Service Agency",336,"Discrimination Claims Settlement, Farm Service Agency, Agriculture",0
"Department of Agriculture","Natural Resources Conservation Service",313,"Conservation Operations, Natural Resources Conservation Service, Agriculture",339542042.37
"Department of Agriculture","Natural Resources Conservation Service",316,"Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture",1359269947.41
"Department of Agriculture","Natural Resources Conservation Service",319,"Watershed and Flood Prevention Operations, Natural Resources Conservation Service, Agriculture",64587098.24
"Department of Agriculture","Natural Resources Conservation Service",314,"Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",2043221.9
"Department of Agriculture","Natural Resources Conservation Service",317,"Resource Conservation and Development, Natural Resources Conservation Services, Agriculture",0
"Department of Agriculture","Natural Resources Conservation Service",321,"Wetlands Reserve Program, Natural Resources Conservation Service, Agriculture",0
"Department of Agriculture","Natural Resources Conservation Service",322,"Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture",0
"Department of Agriculture","Rural Development",302,"Salaries and Expenses, Rural Development, Agriculture",335756424.28
"Department of Agriculture","Foreign Agricultural Service",345,"Scientific Activities Overseas, Foreign Currency Program, Foreign Agricultural Service, Agriculture",0
"Department of Agriculture","Forest Service",324,"Capital Improvement and Maintenance, Forest Service, Agriculture",144787657.15
"Department of Agriculture","Forest Service",325,"Forest and Rangeland Research, Forest Service, Agriculture",147357233.56
"Department of Agriculture","Forest Service",327,"National Forest System, Forest Service, Agriculture",774625630.47
"Department of Agriculture","Forest Service",326,"State and Private Forestry, Forest Service, Agriculture",86159686.92
"Department of Agriculture","Forest Service",331,"Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture",1244948.67
"Department of Agriculture","Forest Service",328,"Wildland Fire Management, Forest Service, Agriculture",1133212983.37
"Department of Agriculture","Forest Service",329,"Payments to States, Northern Spotted Owl Guarantee, Forest Service, Agriculture",0
"Department of Commerce","Departmental Management",542,"Salaries and Expenses, Departmental Management, Commerce",65595150.88
"Department of Commerce","Departmental Management",548,"Office of Inspector General, Departmental Management, Commerce",20462259.79
"Department of Commerce","Departmental Management",540,"Office of Inspector General - Recovery Act, Departmental Management, Commerce",141483.26
"Department of Commerce","Departmental Management",545,"Renovation and Modernization, Departmental Management, Commerce",667587.29
"Department of Commerce","Departmental Management",594,"Working Capital Fund, Departmental Management, Commerce",88388202.93
"Department of Commerce","Departmental Management",625,"Gifts and Bequests, Departmental Management, Commerce",3086634.03
"Department of Commerce","Economic Development Administration",547,"Salaries and Expenses, Economic Development Administration, Commerce",20864835.28
"Department of Commerce","Economic Development Administration",579,"Economic Development Assistance Programs, Economic Development Administration, Commerce",53150030.94
"Department of Commerce","Economic Development Administration",591,"Economic Development Revolving Fund, Liquidating Account, Commerce",0
"Department of Commerce","Bureau of the Census",551,"Current Surveys and Programs, Bureau of the Census, Commerce",138424638.44
"Department of Commerce","Bureau of the Census",552,"Periodic Censuses and Programs, Bureau of the Census, Commerce",467626507.66
"Department of Commerce","Bureau of the Census",595,"Census Working Capital Fund, Bureau of the Census, Commerce",408945562.38
"Department of Commerce","Bureau of Economic Analysis",578,"Salaries and Expenses, Economic and Statistical Analysis, Commerce",56255623.57
"Department of Commerce","Bureau of Economic Analysis",586,"Economics and Statistics Administration Revolving Fund, Economic and Statistical Analysis, Commerce",576673.38
"Department of Commerce","International Trade Administration",568,"Operations and Administration, International Trade Administration, Commerce",232398630.34
"Department of Commerce","International Trade Administration",607,"Grants to Manufacturers of Worsted Wool Fabrics, International Trade Commission, Commerce",0
"Department of Commerce","Bureau of Industry and Security",550,"Operations and Administration, Bureau of Industry and Security, Commerce",46790652.85
"Department of Commerce","Minority Business Development Agency",549,"Minority Business Development, Minority Business Development Agency, Commerce",11793579.43
"Department of Commerce","National Oceanic and Atmospheric Administration",570,"Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce",1357681109.65
"Department of Commerce","National Oceanic and Atmospheric Administration",599,"Foreign Fishing Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",601,"Marine Mammal Unusual Mortality Event Fund, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",573,"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring and Technology, National Oceanic and Atmospheric Administration, Commerce",127137.26
"Department of Commerce","National Oceanic and Atmospheric Administration",575,"Procurement, Acquisition and Construction, National Oceanic and Atmospheric Administration, Commerce",995429253.92
