"Agency","Subagency","Recipient","Obligation"
"Department of Defense (DOD)","DEPT OF THE NAVY","LOCKHEED MARTIN CORPORATION",6678381001.92
"Department of Defense (DOD)","DEPT OF THE NAVY","HUNTINGTON INGALLS INCORPORATED",2263454868.26
"Department of Energy (DOE)","ENERGY, DEPARTMENT OF","NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",1728155416.88
"Department of Veterans Affairs (VA)","VETERANS AFFAIRS, DEPARTMENT OF","MCKESSON CORPORATION",1636073794.43
"Department of Defense (DOD)","DEPT OF THE NAVY","RAYTHEON COMPANY",1602048408.43
"Department of Defense (DOD)","DEPT OF THE ARMY","SIKORSKY AIRCRAFT CORPORATION",1314257820.39
"Department of Defense (DOD)","DEFENSE HEALTH AGENCY (DHA)","HUMANA MILITARY HEALTHCARE SERVICES, INC.",1295610791.01
"Department of Defense (DOD)","DEPT OF THE AIR FORCE","LOCKHEED MARTIN CORPORATION",1188990457.99
"Department of Defense (DOD)","DEFENSE HEALTH AGENCY (DHA)","UNITEDHEALTH MILITARY & VETERANS SERVICES, LLC",1155198519.87
"Department of Energy (DOE)","ENERGY, DEPARTMENT OF","CONSOLIDATED NUCLEAR SECURITY LLC",1092195945
"Department of Defense (DOD)","DEPT OF THE NAVY","NORTHROP GRUMMAN SYSTEMS CORPORATION",1059882799.39
"Department of Defense (DOD)","DEFENSE HEALTH AGENCY (DHA)","HEALTH NET FEDERAL SERVICES, LLC",1056274077.83
"Department of Energy (DOE)","ENERGY, DEPARTMENT OF","LOS ALAMOS NATIONAL SECURITY LIMITED LIABILITY COMPANY",927148857.91
"National Aeronautics and Space Administration (NASA)","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","CALIFORNIA INSTITUTE OF TECHNOLOGY",926265884.04
"Department of Defense (DOD)","DEPT OF THE NAVY","Other",916158641.2
"Department of Defense (DOD)","DEPT OF THE ARMY","LOCKHEED MARTIN CORPORATION",887112669.36
"Department of Defense (DOD)","DEPT OF THE AIR FORCE","NORTHROP GRUMMAN SYSTEMS CORPORATION",818803377.71
