Bin,Recipient,Type,No_Staff,Research_number,Amount
less than 250,Aaniiih Nakoda College,"Public, 2-year",7,0,615911
less than 250,Abraham Baldwin Agricultural College,"Public, 4-year or above",103,0,770342
less than 250,Adams State University,"Public, 4-year or above",112,0,1648425
less than 250,Adirondack Community College,"Public, 2-year",87,1,129873
less than 250,Adrian College,"Private not-for-profit, 4-year or above",91,0,137086
less than 250,Adventist University of Health Sciences,"Private not-for-profit, 4-year or above",85,0,121903
less than 250,Aiken Technical College,"Public, 2-year",53,0,123455
less than 250,Aims Community College,"Public, 2-year",108,0,232552
less than 250,Alabama A & M University,"Public, 4-year or above",241,2,3632633
less than 250,Alabama Southern Community College,"Public, 2-year",35,0,843019
less than 250,Alamo Community College District Central Office,Administrative Unit,1,0,29240
less than 250,Albany Medical College,"Private not-for-profit, 4-year or above",1,0,4523573
less than 250,Albany State University,"Public, 4-year or above",167,0,1215956
less than 250,Albion College,"Private not-for-profit, 4-year or above",105,0,103227
less than 250,Alcorn State University,"Public, 4-year or above",161,5,1671699
less than 250,Alderson Broaddus University,"Private not-for-profit, 4-year or above",62,0,230275
less than 250,Alfred University,"Private not-for-profit, 4-year or above",150,0,485960
less than 250,Allan Hancock College,"Public, 2-year",168,0,101994
less than 250,Allegany College of Maryland,"Public, 2-year",105,1,296694
less than 250,Allegheny College,"Private not-for-profit, 4-year or above",183,0,424172
less than 250,Allen College,"Private not-for-profit, 4-year or above",38,0,59141
less than 250,Allen University,"Private not-for-profit, 4-year or above",40,0,312146
less than 250,Alma College,"Private not-for-profit, 4-year or above",97,0,353665
less than 250,Alvernia University,"Private not-for-profit, 4-year or above",107,0,141583
less than 250,Alverno College,"Private not-for-profit, 4-year or above",99,0,165080
less than 250,American International College,"Private not-for-profit, 4-year or above",73,0,327398
less than 250,American Samoa Community College,"Public, 4-year or above",61,NA,341978
less than 250,American Sentinel University,"Private for-profit, 4-year or above",18,0,196616
less than 250,American University of Puerto Rico,"Private not-for-profit, 4-year or above",13,NA,197049
less than 250,Amherst College,"Private not-for-profit, 4-year or above",223,0,1922581
less than 250,Anderson University,"Private not-for-profit, 4-year or above",118,0,43791
less than 250,Andrew College,"Private not-for-profit, 2-year",18,0,48711
less than 250,Anoka-Ramsey Community College,"Public, 2-year",124,0,865455
less than 250,Antelope Valley College,"Public, 2-year",176,0,642417
less than 250,Antioch University-Santa Barbara,"Private not-for-profit, 4-year or above",10,0,143767
less than 250,Aquinas College,"Private not-for-profit, 4-year or above",89,0,121199
less than 250,Arapahoe Community College,"Public, 2-year",105,0,118012
less than 250,Arizona Western College,"Public, 2-year",126,3,1464491
less than 250,Arkansas Baptist College,"Private not-for-profit, 4-year or above",27,0,434813
less than 250,Arkansas State University Mid-South,"Public, 2-year",45,0,512958
less than 250,Arkansas State University-Beebe,"Public, 2-year",118,0,518487
less than 250,Asheville-Buncombe Technical Community College,"Public, 2-year",172,0,452657
less than 250,Ashland Community and Technical College,"Public, 2-year",82,0,137086
less than 250,Ashland University,"Private not-for-profit, 4-year or above",213,0,254404
less than 250,Asnuntuck Community College,"Public, 2-year",31,0,242716
less than 250,Assumption College,"Private not-for-profit, 4-year or above",148,0,212720
less than 250,Athens Technical College,"Public, 2-year",104,0,78538
less than 250,Auburn University at Montgomery,"Public, 4-year or above",179,0,494734
less than 250,Augsburg College,"Private not-for-profit, 4-year or above",171,1,834886
less than 250,Augustana College,"Private not-for-profit, 4-year or above",192,0,208976
less than 250,Augustana University,"Private not-for-profit, 4-year or above",136,0,413152
less than 250,Aurora University,"Private not-for-profit, 4-year or above",157,0,103843
less than 250,Austin College,"Private not-for-profit, 4-year or above",110,0,191746
less than 250,Avila University,"Private not-for-profit, 4-year or above",72,0,611909
less than 250,Bacone College,"Private not-for-profit, 4-year or above",16,0,136062
less than 250,Baker University,"Private not-for-profit, 4-year or above",68,0,137617
less than 250,Baldwin Wallace University,"Private not-for-profit, 4-year or above",201,0,262080
less than 250,Baltimore City Community College,"Public, 2-year",107,0,31516
less than 250,Bank Street College of Education,"Private not-for-profit, 4-year or above",29,2,366041
less than 250,Bard College,"Private not-for-profit, 4-year or above",177,9,663336
less than 250,Barnard College,"Private not-for-profit, 4-year or above",214,3,2038416
less than 250,Barton County Community College,"Public, 2-year",64,0,189794
less than 250,Bates College,"Private not-for-profit, 4-year or above",159,0,779207
less than 250,Baton Rouge Community College,"Public, 2-year",185,0,230871
less than 250,Bay Mills Community College,"Public, 2-year",13,0,304561
less than 250,Bay Path University,"Private not-for-profit, 4-year or above",54,0,171041
less than 250,Becker College,"Private not-for-profit, 4-year or above",43,0,235426
less than 250,Bellevue College,"Public, 4-year or above",180,0,124494
less than 250,Beloit College,"Private not-for-profit, 4-year or above",110,0,404507
less than 250,Bemidji State University,"Public, 4-year or above",158,0,616874
less than 250,Benedict College,"Private not-for-profit, 4-year or above",124,0,1918691
less than 250,Benedictine University,"Private not-for-profit, 4-year or above",160,0,491772
less than 250,Benjamin Franklin Institute of Technology,"Private not-for-profit, 4-year or above",37,0,181368
less than 250,Bennett College,"Private not-for-profit, 4-year or above",47,0,528139
less than 250,Berea College,"Private not-for-profit, 4-year or above",141,3,2497006
less than 250,Berkshire Community College,"Public, 2-year",56,0,301592
less than 250,Bethel University,"Private not-for-profit, 4-year or above",231,0,73215
less than 250,Bethune-Cookman University,"Private not-for-profit, 4-year or above",185,0,1545112
less than 250,Bevill State Community College,"Public, 2-year",114,0,1439018
less than 250,Big Bend Community College,"Public, 2-year",44,0,1014840
less than 250,Big Sandy Community and Technical College,"Public, 2-year",107,0,125740
less than 250,Birmingham Southern College,"Private not-for-profit, 4-year or above",83,0,96339
less than 250,Bishop State Community College,"Public, 2-year",86,0,834012
less than 250,Bismarck State College,"Public, 4-year or above",131,0,528502
less than 250,Black Hills State University,"Public, 4-year or above",119,2,1045701
less than 250,Blackfeet Community College,"Private not-for-profit, 2-year",50,0,526152
less than 250,Bloomfield College,"Private not-for-profit, 4-year or above",73,0,507879
less than 250,Bluefield State College,"Public, 4-year or above",77,0,749240
less than 250,Bluegrass Community and Technical College,"Public, 2-year",207,0,707650
less than 250,Bossier Parish Community College,"Public, 2-year",140,0,98846
less than 250,Bowdoin College,"Private not-for-profit, 4-year or above",212,0,1109226
less than 250,Bowie State University,"Public, 4-year or above",220,0,1338438
less than 250,Brescia University,"Private not-for-profit, 4-year or above",47,0,182592
less than 250,Briar Cliff University,"Private not-for-profit, 4-year or above",62,0,393024
less than 250,Bristol Community College,"Public, 2-year",127,0,156520
less than 250,Bryant University,"Private not-for-profit, 4-year or above",166,0,59310
less than 250,Bryn Mawr College,"Private not-for-profit, 4-year or above",160,1,1266321
less than 250,Bucks County Community College,"Public, 2-year",145,0,157949
less than 250,Bunker Hill Community College,"Public, 2-year",158,0,583663
less than 250,Butler Community College,"Public, 2-year",150,0,318409
less than 250,Butte College,"Public, 2-year",198,0,430783
less than 250,Cabrillo College,"Public, 2-year",214,0,208351
less than 250,Cabrini College,"Private not-for-profit, 4-year or above",84,0,139909
less than 250,California Lutheran University,"Private not-for-profit, 4-year or above",182,0,683178
less than 250,California State University-Channel Islands,"Public, 4-year or above",184,0,795798
less than 250,California State University-Monterey Bay,"Public, 4-year or above",226,0,2861755
less than 250,California Western School of Law,"Private not-for-profit, 4-year or above",41,0,117193
less than 250,Camden County College,"Public, 2-year",131,0,180312
less than 250,Cameron University,"Public, 4-year or above",173,0,465338
less than 250,Campbellsville University,"Private not-for-profit, 4-year or above",141,0,242824
less than 250,Canada College,"Public, 2-year",85,0,867209
less than 250,Canisius College,"Private not-for-profit, 4-year or above",189,0,989080
less than 250,Cankdeska Cikana Community College,"Public, 2-year",24,0,1385648
less than 250,Cape Cod Community College,"Public, 2-year",65,0,685210
less than 250,Capitol Technology University,"Private not-for-profit, 4-year or above",14,0,328740
less than 250,Caribbean University-Bayamon,"Private not-for-profit, 4-year or above",37,NA,148732
less than 250,Carl Albert State College,"Public, 2-year",56,0,1401818
less than 250,Carl Sandburg College,"Public, 2-year",46,0,243975
less than 250,Carleton College,"Private not-for-profit, 4-year or above",229,0,852922
less than 250,Carlos Albizu University-Miami,"Private not-for-profit, 4-year or above",27,0,197074
less than 250,Carroll University,"Private not-for-profit, 4-year or above",128,0,806756
less than 250,Carson-Newman University,"Private not-for-profit, 4-year or above",122,0,242166
less than 250,Casper College,"Public, 2-year",152,0,50306
less than 250,Castleton University,"Public, 4-year or above",94,0,269446
less than 250,Catawba College,"Private not-for-profit, 4-year or above",87,0,307362
less than 250,Catawba Valley Community College,"Public, 2-year",136,0,106360
less than 250,Cazenovia College,"Private not-for-profit, 4-year or above",57,1,140248
less than 250,Cecil College,"Public, 2-year",49,0,51701
less than 250,Cedar Crest College,"Private not-for-profit, 4-year or above",76,0,171661
less than 250,Cedar Valley College,"Public, 2-year",72,0,106333
less than 250,Central Alabama Community College,"Public, 2-year",54,0,663365
less than 250,Central Arizona College,"Public, 2-year",104,0,133829
less than 250,Central Carolina Technical College,"Public, 2-year",84,0,327389
less than 250,Central College,"Private not-for-profit, 4-year or above",100,0,505270
less than 250,Central Georgia Technical College,"Public, 2-year",232,0,232907
less than 250,Central Lakes College-Brainerd,"Public, 2-year",82,0,371442
less than 250,Central Maine Community College,"Public, 2-year",55,0,278444
less than 250,Central Oregon Community College,"Public, 2-year",127,0,106192
less than 250,Central State University,"Public, 4-year or above",94,0,1054587
less than 250,Centralia College,"Public, 4-year or above",74,0,440444
less than 250,Centre College,"Private not-for-profit, 4-year or above",125,0,164284
less than 250,Century College,"Public, 2-year",164,0,566522
less than 250,Chadron State College,"Public, 4-year or above",90,0,250140
less than 250,Chaminade University of Honolulu,"Private not-for-profit, 4-year or above",77,0,692031
less than 250,Charles R Drew University of Medicine and Science,"Private not-for-profit, 4-year or above",37,4,2870937
less than 250,Chatham University,"Private not-for-profit, 4-year or above",114,0,280205
less than 250,Chattahoochee Technical College,"Public, 2-year",169,0,21333
less than 250,Chattanooga State Community College,"Public, 2-year",238,0,278163
less than 250,Chemeketa Community College,"Public, 2-year",199,0,102733
less than 250,Cheyney University of Pennsylvania,"Public, 4-year or above",44,0,393837
less than 250,Chief Dull Knife College,"Public, 2-year",12,0,894710
less than 250,Chipola College,"Public, 4-year or above",46,0,232114
less than 250,Chippewa Valley Technical College,"Public, 2-year",221,0,167774
less than 250,Chowan University,"Private not-for-profit, 4-year or above",63,0,166242
less than 250,Christian Brothers University,"Private not-for-profit, 4-year or above",103,0,98300
less than 250,Cincinnati State Technical and Community College,"Public, 2-year",221,0,507004
less than 250,Citrus College,"Public, 2-year",138,2,577735
less than 250,City Colleges of Chicago-District Office,Administrative Unit,1,0,176198
less than 250,City Colleges of Chicago-Wilbur Wright College,"Public, 2-year",106,0,215749
less than 250,Claflin University,"Private not-for-profit, 4-year or above",122,8,2608291
less than 250,Claremont Graduate University,"Private not-for-profit, 4-year or above",96,3,1200510
less than 250,Claremont McKenna College,"Private not-for-profit, 4-year or above",168,0,619805
less than 250,Clarion University of Pennsylvania,"Public, 4-year or above",213,1,564559
less than 250,Clark Atlanta University,"Private not-for-profit, 4-year or above",173,22,3262345
less than 250,Clark College,"Public, 4-year or above",197,0,164447
less than 250,Clark State Community College,"Public, 2-year",86,0,123577
less than 250,Clark University,"Private not-for-profit, 4-year or above",205,13,3299478
less than 250,Clarke University,"Private not-for-profit, 4-year or above",90,0,387798
less than 250,Clarkson College,"Private not-for-profit, 4-year or above",50,0,141822
less than 250,Clarkson University,"Private not-for-profit, 4-year or above",221,23,5506274
less than 250,Clayton State University,"Public, 4-year or above",225,0,49685
less than 250,Cleveland State Community College,"Public, 2-year",76,0,221975
less than 250,Clinton College,"Private not-for-profit, 4-year or above",11,0,322132
less than 250,Cloud County Community College,"Public, 2-year",40,0,168756
less than 250,Cochise County Community College District,"Public, 2-year",83,0,87555
less than 250,Coconino Community College,"Public, 2-year",30,0,114102
less than 250,Coe College,"Private not-for-profit, 4-year or above",99,0,385820
less than 250,Colby College,"Private not-for-profit, 4-year or above",180,0,444265
less than 250,Colby Community College,"Public, 2-year",45,0,319292
less than 250,College of Central Florida,"Public, 4-year or above",120,0,694757
less than 250,College of Coastal Georgia,"Public, 4-year or above",90,0,118450
less than 250,College of Lake County,"Public, 2-year",209,0,192560
less than 250,College of Menominee Nation,"Private not-for-profit, 4-year or above",20,0,325699
less than 250,College of Mount Saint Vincent,"Private not-for-profit, 4-year or above",79,1,572329
less than 250,College of Our Lady of the Elms,"Private not-for-profit, 4-year or above",60,0,270020
less than 250,College of Saint Benedict,"Private not-for-profit, 4-year or above",152,0,265467
less than 250,College of San Mateo,"Public, 2-year",134,0,106200
less than 250,College of Southern Idaho,"Public, 2-year",148,0,581053
less than 250,College of Southern Maryland,"Public, 2-year",125,0,61935
less than 250,College of St Joseph,"Private not-for-profit, 4-year or above",11,0,182170
less than 250,College of the Desert,"Public, 2-year",143,0,192682
less than 250,College of the Mainland,"Public, 2-year",103,0,450453
less than 250,College of the Marshall Islands,"Public, 2-year",60,NA,192683
less than 250,College of the Muscogee Nation,"Public, 2-year",10,1,355056
less than 250,College of the Ouachitas,"Public, 2-year",39,0,128101
less than 250,College of the Siskiyous,"Public, 2-year",37,0,280850
less than 250,Colorado College,"Private not-for-profit, 4-year or above",197,1,630967
less than 250,Colorado Mountain College,"Public, 4-year or above",118,0,330216
less than 250,Colorado State University-Pueblo,"Public, 4-year or above",174,0,1729617
less than 250,Columbia Basin College,"Public, 4-year or above",132,0,1212555
less than 250,Columbia College,"Private not-for-profit, 4-year or above",71,0,257940
less than 250,Columbia College,"Private not-for-profit, 4-year or above",72,0,255669
less than 250,Columbia College,"Public, 2-year",51,0,114725
less than 250,Columbia State Community College,"Public, 2-year",102,0,114071
less than 250,Community College of Aurora,"Public, 2-year",57,0,228188
less than 250,Community College of Denver,"Public, 2-year",102,0,368453
less than 250,Community College of Vermont,"Public, 2-year",1,0,353649
less than 250,Concord University,"Public, 4-year or above",113,0,95220
less than 250,Concordia College Alabama,"Private not-for-profit, 4-year or above",21,0,518970
less than 250,Concordia College at Moorhead,"Private not-for-profit, 4-year or above",172,0,240937
less than 250,Concordia University-Wisconsin,"Private not-for-profit, 4-year or above",209,0,155140
less than 250,Connecticut College,"Private not-for-profit, 4-year or above",201,0,584646
less than 250,Connors State College,"Public, 2-year",47,0,194238
less than 250,Contra Costa College,"Public, 2-year",94,0,238555
less than 250,Cooper Union for the Advancement of Science and Art,"Private not-for-profit, 4-year or above",47,0,202681
less than 250,Copiah-Lincoln Community College,"Public, 2-year",110,0,137085
less than 250,Coppin State University,"Public, 4-year or above",128,0,396729
less than 250,Cornell College,"Private not-for-profit, 4-year or above",87,2,244509
less than 250,Crowder College,"Public, 2-year",106,0,244255
less than 250,Cumberland County College,"Public, 2-year",41,0,333828
less than 250,CUNY Advanced Science Research Center,"Public, 4-year or above",20,NA,92154
less than 250,CUNY Graduate School and University Center,"Public, 4-year or above",215,1,225568
less than 250,CUNY York College,"Public, 4-year or above",202,0,1039296
less than 250,D'Youville College,"Private not-for-profit, 4-year or above",185,0,293628
less than 250,Dabney S Lancaster Community College,"Public, 2-year",21,0,290571
less than 250,Daemen College,"Private not-for-profit, 4-year or above",138,0,644532
less than 250,Dakota College at Bottineau,"Public, 2-year",32,0,114102
less than 250,Dakota County Technical College,"Public, 2-year",74,0,460799
less than 250,Dakota State University,"Public, 4-year or above",91,0,738800
less than 250,Dakota Wesleyan University,"Private not-for-profit, 4-year or above",47,0,123937
less than 250,Danville Area Community College,"Public, 2-year",66,0,225668
less than 250,Danville Community College,"Public, 2-year",58,0,245279
less than 250,Davenport University,"Private not-for-profit, 4-year or above",133,0,204363
less than 250,Davidson College,"Private not-for-profit, 4-year or above",176,0,237026
less than 250,Davidson County Community College,"Public, 2-year",98,4,106361
less than 250,Davis & Elkins College,"Private not-for-profit, 4-year or above",53,1,455531
less than 250,Delaware State University,"Public, 4-year or above",230,34,4000707
less than 250,Delaware Valley University,"Private not-for-profit, 4-year or above",85,0,25095
less than 250,Delta State University,"Public, 4-year or above",161,0,874137
less than 250,Denison University,"Private not-for-profit, 4-year or above",235,0,406235
less than 250,Denmark Technical College,"Public, 2-year",31,0,28392
less than 250,DePauw University,"Private not-for-profit, 4-year or above",229,1,280248
less than 250,Des Moines University-Osteopathic Medical Center,"Private not-for-profit, 4-year or above",7,0,198465
less than 250,DeSales University,"Private not-for-profit, 4-year or above",125,0,122274
less than 250,Dewey University-Juana Diaz,"Private not-for-profit, 4-year or above",2,NA,602100
less than 250,Dickinson College,"Private not-for-profit, 4-year or above",232,0,355878
less than 250,Dickinson State University,"Public, 4-year or above",78,1,269062
less than 250,Dillard University,"Private not-for-profit, 4-year or above",72,2,1720423
less than 250,Dine College,"Public, 4-year or above",64,0,934087
less than 250,Dixie State University,"Public, 4-year or above",205,0,678564
less than 250,Doane University-Arts & Sciences,"Private not-for-profit, 4-year or above",84,1,651336
less than 250,Dodge City Community College,"Public, 2-year",54,0,262234
less than 250,Dominican College of Blauvelt,"Private not-for-profit, 4-year or above",73,0,207782
