coc_number,value
AK-500,29610226
AK-501,80441508.32
AL-500,24600805
AL-501,40257696.1
AL-502,8330677
AL-503,22761243.41
AL-504,48844786
AL-505,19519409
AL-506,14887335
AL-507,84147677
AR-500,21370906
AR-501,6637278
AR-503,40211413
AR-504,27781167
AR-505,26607799
AR-508,8862475
AR-512,2606425
AZ-500,75436533
AZ-501,53311203
AZ-502,97543124.87
CA-500,55619572
CA-501,45960244
CA-502,106848038
CA-503,118375812
CA-504,24060956
CA-505,38429231
CA-506,24105387
CA-507,15213360
CA-508,15793247
CA-509,19537304
CA-510,26349960
CA-511,8774570
CA-512,18356018
CA-513,54305406
CA-514,86034778
CA-515,9944593
CA-516,36596850
CA-517,16083939
CA-518,2189345
CA-519,2003310
CA-520,30143740
CA-521,12898583
CA-522,9921170
CA-523,2810079
CA-524,29097161.28
CA-525,7498194
CA-526,5837573
CA-527,5152091
CA-529,1155558
CA-600,594347533.6
CA-601,196363329
CA-602,78640904
CA-603,17231378.14
CA-604,67321216
CA-606,11249342
CA-607,9370247
CA-608,55531323.48
CA-609,64282157
CA-611,34308561
CA-612,7705339
CA-613,22292121
CA-614,60319188
CA-615,4711860
CO-500,81660754
CO-503,211528559.4
CO-504,22867351
CT-503,47319435.09
CT-505,139190788
DC-500,63746379
DE-500,29921846
FL-500,22962677
FL-501,49426782.54
FL-502,13820558
FL-503,18699357
FL-504,31839859
FL-505,7188849.72
FL-506,50743179
FL-507,27277259.57
FL-508,31793560.38
FL-509,11381518
FL-510,17971188
FL-511,16644986
FL-512,1018127
FL-513,18568279.79
FL-514,3872192
FL-515,9483781.26
FL-517,8404177
FL-518,444933
FL-519,12446180
FL-520,18945441
FL-600,138117692
FL-601,24852013.73
FL-602,2727137
FL-603,11539733
FL-604,19494436
FL-605,39282128.26
FL-606,45377028
GA-500,122348730.3
GA-501,175164914.4
GA-503,11542138
GA-504,17655702.64
GA-505,20554632
GA-506,1656929
GA-507,6905585.53
GA-508,8579161
GU-500,6348022
HI-500,18890874
HI-501,39132475.39
IA-500,41546968
IA-501,95810802.69
ID-500,15211536.9
ID-501,74751331
IL-500,266539
IL-501,13804377
IL-502,10918755
IL-503,7399137
IL-504,25016280.47
IL-506,59662159
IL-507,12272238
IL-508,17263248
IL-509,726104
IL-510,173560682
IL-511,62126257
IL-512,7583849
IL-513,16727870
IL-514,12585748
IL-515,8899967
IL-516,6881742
IL-517,23119268.25
IL-518,20237889
IL-519,9759539
IL-520,32240158
IN-500,6448681
IN-502,139474480.6
IN-503,45744784
KS-502,13087915
KS-503,8304630
KS-505,7663311
KS-507,76395940
KY-500,162602586
KY-501,42760475.5
KY-502,26608740
LA-500,37251514
