COC_Number,COC_Name,amount
CA-600,Los Angeles City & County CoC,594347533.6
NY-600,New York City CoC,548722607
TX-607,Texas Balance of State (BoS) CoC,470385022.1
CO-503,Metropolitan Denver Homeless Initiative,211528559.4
PR-502,Puerto Rico Balance of Commonwealth CoC,202103169
OH-507,Ohio Balance of State CoC,198795526.3
CA-601,San Diego City and County CoC,196363329
NC-503,North Carolina Balance of State CoC,184419340.5
GA-501,Georgia Balance of State CoC,175164914.4
IL-510,Chicago CoC,173560682
KY-500,Kentucky Balance of State CoC,162602586
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",156657202
MS-501,Mississippi Balance of State CoC,139650334
IN-502,Indiana Balance of State CoC,139474480.6
CT-505,Connecticut Balance of State CoC,139190788
FL-600,Miami/Dade County CoC,138117692
MO-606,Missouri Balance of State CoC,131694461
WA-500,Seattle/King County CoC,130847904
PA-500,Philadelphia CoC,123740379.6
GA-500,Atlanta Continuum of Care,122348730.3
PR-503,South/Southeast Puerto Rico CoC,121438776
MA-500,Boston CoC,120990329.3
WA-501,Washington Balance of State CoC,119662098
TX-500,San Antonio/Bexar County CoC,118678896
CA-503,Sacramento City & County CoC,118375812
NM-501,New Mexico Balance of State CoC,113544642
MI-500,Michigan Balance of State CoC,112110505.4
MS-500,"Jackson/Rankin, Madison Counties CoC",110536876
CA-502,Oakland/Alameda County CoC,106848038
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,105114808
WI-500,Wisconsin Balance of State CoC,101899098.3
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,97543124.87
IA-501,Iowa Balance of State CoC,95810802.69
MD-501,Baltimore City CoC,94665681
MT-500,Montana Statewide CoC,93430083.9
TX-600,Dallas City & County/Irving CoC,92520983
ME-500,Maine Balance of State CoC,89071633
CA-514,Fresno/Madera County CoC,86034778
OR-501,Portland-Gresham-Multnomah County CoC,85203114
AL-507,Alabama Balance of State CoC,84147677
CO-500,Colorado Balance of State CoC,81660754
OH-503,Columbus/Franklin County CoC,81006939
AK-501,Alaska Balance of State CoC,80441508.32
CA-602,Santa Ana/Anaheim/Orange County CoC,78640904
WV-508,West Virginia Balance of State CoC,77888374.96
OH-502,Cleveland/Cuyahoga County CoC,77348653
KS-507,Kansas Balance of State CoC,76395940
LA-503,New Orleans/Jefferson Parish CoC,75565233
AZ-500,Arizona Balance of State CoC,75436533
MA-516,Massachusetts Balance of State,75273880.08
ID-501,Idaho Balance of State,74751331
VA-521,Virginia Balance of State (BoS) CoC,72542259.9
