"name","size","city","state"
"''PUCHE'' DENTAL LABORATORY, LLC",60000,"TORRANCE","CA"
"''SCIENCE SPARK''",14000,"ENCINITAS","CA"
"'ASTA' ROOFING & CONSTRUCTION, LLC",28253.54,"WINSLOW","AZ"
"'FORE' SUPPLY CO.",7253.25,"ADDISON","IL"
"'JM' TEMPORARY SERVICES & AFFILIATES, INC.",9520.46,"SAN DIMAS","CA"
"'MEDIA PULSE' D.O.O. SARAJEVO",5628.87,"SARAJEVO",NA
"'RSG' D.O.O. SARAJEVO",48036,"SARAJEVO",NA
"""CITI APPROVED"" THIBODEAUX CONSTRUCTION, LLC",4809,"HARVEY","LA"
"@ XI COMPUTER CORPORATION",19534.6,"SAN CLEMENTE","CA"
"@MIRE, INC.",51000,"CARLSBAD","CA"
"@MIRE, INC.",51000,"WEST HENRIETTA","NY"
"09CLEAN CO., LTD.",1558.87,"SEOUL",NA
"1 BETHESDA DRIVE OPERATING COMPANY, LLC",7959,"HORNELL","NY"
"1 SOURCE CONSULTING, INC.",1415543.09,"GERMANTOWN","MD"
"1 SOURCE CONSULTING, INC.",1415543.09,"WASHINGTON","DC"
"1 SOURCE SOLUTIONS, LLC",511583.07,"SUFFOLK","VA"
"1 STOP ELECTRONICS CENTER, INC.",795232.79,"BROOKLYN","NY"
"10-20 SERVICES INC.",-864.13,"FAYETTEVILLE","NC"
"10-31 INC",13530,"COLUMBIA","NJ"
"10-8 EMERGENCY VEHICLE SERVICE, LLC",46275.2,"NEW HOLLAND","PA"
"10 TANKER AIR CARRIER, LLC",3278553.73,"ALBUQUERQUE","NM"
"10 TANKER AIR CARRIER, LLC",3278553.73,"VICTORVILLE","CA"
"100 S CLINTON LLC",6152,"ROCHESTER","NY"
"1000-1100 WILSON OWNER, LLC",4200,"ARLINGTON","VA"
"1000 K, L.L.C.",28155.68,"WASHINGTON","DC"
"1000 LOUISIANA LP",-5200,"HOUSTON","TX"
"101 BAR RANCH, LTD",-10400,"MATHIS","TX"
"101 MOBILITY, LLC",59489.92,"WILMINGTON","NC"
"101MOBILITY, LLC",1276372.17,"WILMINGTON","NC"
"10401 FERNWOOD, LLC",419398.29,"BETHESDA","MD"
"106 GROUP LTD., THE",104663,"SAINT PAUL","MN"
"10DBX LLC",124999,"SAN DIEGO","CA"
"10X GENOMICS, INC.",493323.03,"PLEASANTON","CA"
"1105 MEDIA INC",83417,"CHATSWORTH","CA"
"1111 SUPERIOR LLC",9135.6,"CLEVELAND","OH"
"1113 NORTH EASTON ROAD OPERATIONS LLC",64112.23,"WILLOW GROVE","PA"
"112 WEST JEFF LLC",1020,"SOUTH BEND","IN"
"1120 VERMONT AVENUE ASSOCIATES LLP",205985.17,"WASHINGTON","DC"
"11228 LONE EAGLE DRIVE HOLDINGS, LLC",17744.4,"BRIDGETON","MO"
"1125 15TH STREET, LLC",-65501.05,"WASHINGTON","DC"
"1130 W. LA PALMA AVE, INC.",2255,"LONG BEACH","CA"
"1135 N. LEISURE CT., INC.",43800,"ANAHEIM","CA"
"11TH CIRCUIT COURT",2281.14,"ORLANDO",NA
"12 & 12 INC",34437,"TULSA","OK"
"1220 EXHIBITS, INC.",5000,"NASHVILLE","TN"
"1445 ROSS AVE LLC",10680,"DALLAS","TX"
"144TH MARKETING GROUP, LLC",4598,"PEACHTREE CITY","GA"
"15 VAN DYKE AVE LLC",3978.87,"NEW BRUNSWICK","NJ"
"1539 COUNTRY CLUB ROAD OPERATIONS LLC",96429.46,"FAIRMONT","WV"
"1601237 ONTARIO LTD",3080,"ACTON",NA
"161 BAKERS RIDGE ROAD OPERATIONS LLC",101845.91,"MORGANTOWN","WV"
"1615-LLL, LLC",55833.76,"WASHINGTON","DC"
"17 MACHINERY LLC",-709.3,"HAYES","VA"
"17 MACHINERY, LLC",140310.36,"HAYES","VA"
"1741 CHRISLER CORP",5107.05,"SCHENECTADY","NY"
"1750 ROCKVILLE PIKE LLC",17598.97,"ROCKVILLE","MD"
"17M ASSOCIATES",12828.36,"WASHINGTON","DC"
"17TH ST. PHOTO SUPPLY, INC.",112302.67,"VALLEY STREAM","NY"
"17TH STREET PHOTO SUPPLY INCORPORATED",211147.92,"VALLEY STREAM","NY"
"1820 SHORE DRIVE OPERATIONS LLC",174475.8,"SAINT PETERSBURG","FL"
"1852668 ONTARIO LIMITED",-12585.9,"BRADFORD",NA
"1859-HISTORIC HOTELS, LTD.",9055,"GALVESTON","TX"
"1901 GROUP, LLC",4382901.09,"BLACKSBURG","VA"
"1901 GROUP, LLC",4382901.09,"RESTON","VA"
"1941 AIRCRAFT GROUP MUSEUM INC",5800,"GENESEO","NY"
"195 LUMBER COMPANY KILLEEN, LTD.",29173.17,"KILLEEN","TX"
"1956518 ONTARIO INC",24900,"CONCORD",NA
"1E, INC.",48350,"NEW YORK","NY"
"1I GROUP, LLC",34167.34,"SAN ANTONIO","TX"
"1PROSPECT TECHNOLOGIES, LLC",1003910.51,"MILWAUKEE","WI"
"1ST ALL FILE RECOVERY USA",11097,"SHAKER HEIGHTS","OH"
"1ST AMERICA REAL ESTATE SERVICES",800,"MARION","IL"
"1ST AMERICAN MEDICAL DISTRIBUTORS, INC.",5577286.63,"MURFREESBORO","TN"
"1ST AMERICAN SYSTEMS AND SERVICES LLC",6692548.05,"FALLS CHURCH","VA"
"1ST AMERICAN SYSTEMS AND SERVICES LLC",6692548.05,"PROCTORVILLE","OH"
"1ST CHOICE AND D R TRAVIS, LLP",-3578.75,"BALTIMORE","MD"
"1ST CHOICE APPRAISAL SERVICES, LLC",500,"MOSES LAKE","WA"
"1ST CHOICE LOGISTICS LC",4000,"AMERICAN FALLS","ID"
"1ST CHOICE MODULAR INSTALLATION LLC",3703.21,"SANTA ANA","CA"
"1ST CHOICE STAFFING, LLC",-583605.95,"BALTIMORE","MD"
"1ST CHOICE STAFFING, LLC",-583605.95,"SILVER SPRING","MD"
"1ST CHOICE, LLC",190668,"BALTIMORE","MD"
"1ST CLASS MEDICAL INC",8318,"LAKE CITY","FL"
"1ST COAST CARGO INC.",7349797.05,"JACKSONVILLE","FL"
"1ST RUN COMPUTER SERVICES INC",7303.08,"GARDEN CITY","NY"
"1ST SENIOR CARE LLC",4125.07,"TIGARD","OR"
"1ST VISION, INC",6050,"ANDOVER","MA"
"2 S 2, INC.",15762,"SPARKS","NV"
"20 20 GENESYSTEMS INC",-108294.54,"ROCKVILLE","MD"
"20 SUMMIT STREET OPERATIONS LLC",7106.32,"WEST ORANGE","NJ"
"20 WEST LLC",-8946,"TULSA","OK"
"200 PARK, INC.",20886,"NEWBERRY","SC"
"200 PARK, LP",6007.05,"NEW YORK","NY"
"2020 COMPANY LIMITED LIABILITY COMPANY",1343216,"FALLS CHURCH","VA"
"2020 COMPANY, LLC",1354940.64,"FALLS CHURCH","VA"
"2025 E STREET OFFICE LEASEHOLD CONDOMINIUM UNIT OWNERS ASSOCIATION, INC.",2395200,"WASHINGTON","DC"
"205 EAST HOUSTON STREET LLC",3934.9,"SAN ANTONIO","TX"
"2068 WATSON BOULEVARD, LLC",135875,"BUFORD","GA"
"21 DELTA ENGINEERS, L.L.C.",-12293,"OMAHA","NE"
"2101, L.L.C.",2283682.8,"CONRAD","MT"
"218TH REGIMENT DINING FACILITY",100870,"EASTOVER","SC"
"21CT, INC.",425000,"AUSTIN","TX"
"21ST CENTURY APPRAISAL SERVICES, INC.",2800,"PRESCOTT","AZ"
"21ST CENTURY ENGINEERING & CO NSTRUCTION COMPANY",260399.46,"MONROVIA",NA
"21ST CENTURY ONCOLOGY, LLC",633359.88,"FORT MYERS","FL"
"21ST CENTURY SCIENTIFIC, INC.",109049.81,"COEUR D ALENE","ID"
"21ST CENTURY SOLUTIONS LLC",3647.28,"VANDALIA","OH"
"2200 C STREET LLC",110406.59,"WASHINGTON","DC"
"2210 SANTA ANA OPCO, LLC",78792,"SANTA ANA","CA"
"22ND CENTURY TEAM LLC",11982965.24,"MC LEAN","VA"
"22ND CENTURY TECHNOLOGIES INC.",9201079.6,"PRINCETON JUNCTION","NJ"
"22ND CENTURY TECHNOLOGIES INC.",9201079.6,"SOMERSET","NJ"
"24-7 INNOVATIONS, LLC",1300,"GREENTOWN","PA"
"24/7 DELIVERY SERVICE",1125,"HOUSTON","TX"
"24/7 ENTERPRISES / MADISON LAWRENCE IND, LLC",199543.28,"MOUNTAINSIDE","NJ"
"24/7 ENTERPRISES, LLC",29493.2,"MOUNTAINSIDE","NJ"
"24/7 MID-ATLANTIC NETWORK, LLC",162000,"BALTIMORE","MD"
"24/7 TECHNOLOGY INC.",40903.64,"MARIETTA","GA"
"2401 SEAL BEACH LLC",3950,"SEAL BEACH","CA"
"2446538 ONTARIO INC",33000,"WOODSTOCK",NA
"24X7SYSTEMS, INC.",1999992,"ALPHARETTA","GA"
"259 HOLDINGS, LTD., LLC",-15676.1,"CARLSBAD","CA"
"270 PAINT & BODY SHOP LLC",2814.04,"KREBS","OK"
"2850 GRAND ISLAND BOULEVARD OPERATING COMPANY, LLC",270572.1,"GRAND ISLAND","NY"
"299 A CLEANER, LLC",-314.4,"NEW BERN","NC"
"2B ACCESSIBILITY LLC",96022.87,"CHAMBERSBURG","PA"
"2B TECHNOLOGIES INC",54975,"BOULDER","CO"
"2G ENGINEERING, LLC",5868,"SUN PRAIRIE","WI"
"2H&V CONSTRUCTION SERVICES, LLC",2338329.85,"BONIFAY","FL"
"2I AGENCY, LLC",29500,"BRENTWOOD","CA"
"2IS INC.",599374,"WALPOLE","MA"
"2K SERVICE ENTERPRISE LLC",138.74,"LA MESA","CA"
"2M MEDICAL SOLUTIONS, LLC",14625,"WEST MEMPHIS","AR"
"2M RESEARCH SERVICES LLC",814334.05,"ARLINGTON","TX"
"2M SOLUTIONS, INC.",11425,"GRAND PRAIRIE","TX"
"2NDWAVE LLC",316219.84,"WASHINGTON","DC"
"2S TECHNOLOGIES INC",24769.7,"CARLSBAD","CA"
"2VB ENTERPRISES, LLC",-51495.56,"ORLANDO","FL"
"2XL CORPORATION",-184.94,"NAPERVILLE","IL"
"3-4-5 RANCH INC",45000,"RENO","NV"
"3-VETS, INC.",49900.56,"TAMPA","FL"
"3 C SRL SISTEMI & TECNOLOGIE",376512,"CAIVANO",NA
"3 CHEFS DOWNTOWN, INC.",84148.5,"NORTH HOLLYWOOD","CA"
"3 D INDUSTRIAL SALES & SERVICE, INC.",97650,"WESTBURY","NY"
"3 FLY ENTERPRISES LLC",-6107,"FENTRESS","TX"
"3 H TECHNOLOGY INSTITUTE LLC",3621.48,"MEDFORD","NJ"
"3 NAIL CHRISTIAN CONSTRUCTION LLC",2607,"STURGEON LAKE","MN"
"3 PHOENIX, INC.",17059832,"CHANTILLY","VA"
"3 PHOENIX, INC.",17059832,"FAIRFAX","VA"
"3 PILLARS LLC",26925.16,"DETROIT","MI"
"3 R RESOURCES, INC.",24789.97,"KENNEWICK","WA"
"3 R RESOURCES, INC.",24789.97,"PASCO","WA"
"3 RANGE COMBATIVES, LLC",163210,"SPOTSYLVANIA","VA"
"3 RIVERS TELEPHONE COOPERATIVE, INC.",-39,"FAIRFIELD","MT"
"3 STAR SOLUTIONS, LLC",24780.96,"SMYRNA","GA"
"3 VETS INC",15969.8,"TAMPA","FL"
"303 ENTERPRISES LLC",-15511.5,"LA GRANDE","OR"
"3089-C JEFFERSON DAVIS HWY, INC",-489.9,"STAFFORD","VA"
"310 DUST CONTROL LLC",207605.64,"PHOENIX","AZ"
"3101 AIRPORT BOULEVARD HOLDINGS, LLC",9761.5,"MOBILE","AL"
"313 AEROSPACE, LLC",179889,"BRADENTON","FL"
"3460 POWDER SPRINGS ROAD ASSOCIATES, L.P.",212500,"ROSWELL","GA"
"347 CONSTRUCTION GROUP, INC.",34893.9,"GRANITE BAY","CA"
"360 DEGREE FIRE PTY LTD",13443.87,"QUEANBEYAN",NA
"360 ENERGY SOLUTIONS CORP.",7211.5,"MIAMI LAKES","FL"
"360 IT INTEGRATED SOLUTIONS",6379487.49,"RESTON","VA"
"360 PATRIOT ENTERPRISES",445600,"FAIRFAX STATION","VA"
"360 PATRIOT ENTERPRISES LLC",3637547.24,"ALEXANDRIA","VA"
"360 TENTS LLC",-7554.5,"TEMPLE","TX"
"360 TENTS, L.L.C.",276910.49,"BELTON","TX"
"360 TRANSCRIPTION CORPORATION",75000,"DANVERS","IL"
"360TRAINING.COM, INC.",3750,"AUSTIN","TX"
"365 MECHANICAL LLC",2650,"GILBERT","AZ"
"3803 HOSPITALITY LLP",-4053,"FARGO","ND"
"3B'S FORESTRY, INCORPORATED",979608.4,"MEDFORD","OR"
"3C COMAN LTD.",-1450,"FORTVILLE","IN"
"3C2MD, INC.",12954.25,"WOODBURN","OR"
"3D ENVIROLOGICS LLC",736293.44,"EARLYSVILLE","VA"
"3D FITNESS, INC.",7424.5,"PATERSON","NJ"
"3D IMAGING DRUG DESIGN AND DEVELOPMENT",441000,"NORTH LITTLE ROCK","AR"
"3D INFOTECH INC",14200,"IRVINE","CA"
"3D MANAGEMENT & CONSULTING, LLC",154787.82,"SIERRA VISTA","AZ"
"3D PERCEPTION, INC.",28080,"ORLANDO","FL"
"3D SYSTEMS, INC.",462001.05,"ROCK HILL","SC"
"3D SYSTEMS, INC.",462001.05,"TULSA","OK"
"3DB LABS, INC.",33778,"WEST CHESTER","OH"
"3DIF, LLC",116831.65,"HAMPTON","VA"
"3DMD LLC",7500,"ATLANTA","GA"
"3E-PLEXUS SOLUTIONS JOINT VENTURE, LLC",20000,"ORLANDO","FL"
"3E AG, INC.",5220,"HOLLANDALE","MS"
"3E CONSULTANTS, INC.",136157.18,"ORLANDO","FL"
"3E TECHNOLOGIES INTERNATIONAL, INC.",5825150.78,"ROCKVILLE","MD"
"3H TECHNOLOGY FEDERAL CORP.",78056.31,"RESTON","VA"
"3LINKS TECHNOLOGIES, INC",1311563.97,"SILVER SPRING","MD"
"3LK CONSTRUCTION LLC",-411491.4,"DETROIT","MI"
"3M COMPANY",3273977.54,"SAINT PAUL","MN"
"3M COMPANY (7775)",23709.6,"SAINT PAUL","MN"
"3M LIVESTOCK, LLC",81400,"BLY","OR"
"3M PURIFICATION INC.",237.1,"MERIDEN","CT"
"3M UNITEK CORPORATION",215151.46,"MONROVIA","CA"
"3MC MOBILE & MECHANICAL REPAIR LLC",310267.26,"HILLIARD","FL"
"3N DOCUMENT DESTRUCTION INC",-390,"CLIFTON PARK","NY"
"3ON SYSTEMS, INC",65314.95,"FREMONT","CA"
"3PS, INC.",6599.86,"CEDAR PARK","TX"
"3PSC LLC",2354419.4,"NORFOLK","VA"
"3RD MILLENNIUM GENETICS CORPORATION",-44.58,"SANTA ISABEL","PR"
"3RD MILLENNIUM, INC.",8208,"WALTHAM","MA"
"3SI SECURITY SYSTEMS, INC.",10015,"MALVERN","PA"
"3SIXTY MISSION CRITICAL LLC",3079.7,"WAUNAKEE","WI"
"3T-INNOVATIONS, LLC",58373.26,"TARPON SPRINGS","FL"
"3T FEDERAL SOLUTIONS LLC",3342311.85,"AUSTIN","TX"
