"sub","name","size"
"ADMINISTRATIVE CONFERENCE OF THE U. S.","DATAPRISE, INC.",30000
"ADMINISTRATIVE CONFERENCE OF THE U. S.","HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC",21900
"ADMINISTRATIVE CONFERENCE OF THE U. S.","RELX INC.",8892
"ADMINISTRATIVE CONFERENCE OF THE U. S.","AGILEANA L.C.",8000
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","E3 FEDERAL SOLUTIONS, LLC",620562.54
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","NASATKA BARRIER, INCORPORATED",582713.42
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","AKAL SECURITY, INC",518214.76
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","NOACON, INC.",441711.6
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","MACNAK CONSTRUCTION LLC",321221.93
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","RAPISCAN SYSTEMS, INC.",285299.28
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","DLR GROUP INC.",256804
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","MAGNUM, INC.",255575.32
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","JE HURLEY CONSTRUCTION, INC.",226191
"ADMINISTRATIVE OFFICE OF THE U.S. COURTS","SMITHS DETECTION, INC.",205235
"ADMINISTRATIVE REVIEW BOARD","MICROPACT, INC.",374951.1
"ADVISORY COUNCIL ON HISTORIC PRESERVATION","HISTORIC MISSION INN CORPORATION",5610.43
"ADVISORY COUNCIL ON HISTORIC PRESERVATION","ELUCID SOLUTIONS, INC.",-1409.35
"AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","ABT ASSOCIATES INC.",832905
"AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","L & M POLICY RESEARCH, LLC",453706
"AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES",446319.05
"AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS",255000
"AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","DUKE UNIVERSITY",255000
"AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","CAPITAL CONSULTING CORP",216225
"AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","EDAPTIVE SYSTEMS, L.L.C.",135535
"AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","MIDTOWN PERSONNEL INC",622.32
