coc_number,coc_name,total_homeless,chronically_homeless,sheltered_homeless,unsheltered_homeless,homeless_veterans,homeless_people_in_families,homeless_unaccompanied_youth,value
AK-500,Anchorage CoC,1105,50,865,240,89,200,94,29610226
AK-501,Alaska Balance of State CoC,835,72,633,202,79,213,79,80441508
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1228,92,1032,196,158,301,110,24600805
AL-501,Mobile City & County/Baldwin County CoC,623,80,387,236,66,146,16,40257696
AL-502,Florence/Northwest Alabama CoC,337,39,286,51,19,143,4,8330677
AL-503,Huntsville/North Alabama CoC,385,102,298,87,29,102,33,22761243
AL-504,Montgomery City & County CoC,367,28,293,74,41,82,10,48844786
AL-505,Gadsden/Northeast Alabama CoC,167,22,91,76,13,34,18,19519409
AL-506,Tuscaloosa City & County CoC,177,13,47,130,19,72,12,14887335
AL-507,Alabama Balance of State CoC,827,44,459,368,28,212,51,84147677
AR-500,Little Rock/Central Arkansas CoC,808,208,469,339,121,66,39,21370906
AR-501,Fayetteville/Northwest Arkansas CoC,550,90,489,61,56,191,45,6637278
AR-503,Arkansas  Balance of State  CoC,734,89,369,365,22,215,82,40211413
AR-504,Delta Hills CoC,89,24,89,0,0,62,11,27781167
AR-505,Southeast Arkansas,89,26,78,11,2,43,19,26607799
AR-508,Old Fort Homeless Coalition,166,54,111,55,18,35,5,8862475
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",27,12,11,16,3,13,0,2606425
AZ-500,Arizona Balance of State CoC,2240,437,1023,1217,305,506,98,75436533
AZ-501,Tucson/Pima County CoC,1765,213,1384,381,281,460,121,53311203
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,5702,745,4056,1646,450,2082,370,97543125
CA-500,San Jose/Santa Clara City & County CoC,6524,2146,1897,4627,701,939,885,55619572
CA-501,San Francisco CoC,6996,1932,2638,4358,580,687,1488,45960244
CA-502,Oakland/Alameda County CoC,4145,753,1748,2397,401,997,271,106848038
CA-503,Sacramento City & County CoC,2500,540,1552,948,308,579,250,118375812
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,2906,747,1000,1906,274,389,664,24060956
CA-505,Richmond/Contra Costa County CoC,1730,384,620,1110,136,364,91,38429231
CA-506,"Salinas/Monterey, San Benito Counties CoC",3022,660,915,2107,204,486,322,24105387
CA-507,Marin County CoC,1258,257,423,835,78,188,354,15213360
CA-508,Watsonville/Santa Cruz City & County CoC,1959,573,605,1354,146,505,303,15793247
CA-509,Mendocino County CoC,1242,177,192,1050,19,95,236,19537304
CA-510,Turlock/Modesto/Stanislaus County CoC,1434,361,704,730,74,287,108,26349960
CA-511,Stockton/San Joaquin County CoC,1780,247,1245,535,138,833,36,8774570
CA-512,Daly/San Mateo County CoC,1361,238,586,775,136,450,53,18356018
CA-513,"Visalia, Kings, Tulare Counties CoC",792,251,326,466,37,146,50,54305406
CA-514,Fresno/Madera County CoC,1883,546,452,1431,228,199,101,86034778
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",1021,347,522,499,67,160,66,9944593
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1272,425,312,960,98,207,151,36596850
CA-517,Napa City & County CoC,317,98,199,118,22,82,24,16083939
CA-518,Vallejo/Solano County CoC,1118,259,323,795,119,163,114,2189345
CA-519,Chico/Paradise/Butte County CoC,574,251,289,285,49,134,69,2003310
