source,target,value
Social Security,Insurance Claims And Indemnities,6.98E+11
Income Security,"Grants, Subsidies, And Contributions",5.18E+11
Medicare,Insurance Claims And Indemnities,5.07E+11
Net Interest,Interest And Dividends,3.82E+11
Health,"Grants, Subsidies, And Contributions",3.56E+11
General Government,Refunds,2.89E+11
National Defense,Personnel Compensation And Benefits,2.01E+11
Medicare,"Grants, Subsidies, And Contributions",1.94E+11
National Defense,"Advisory, R&D, Medical, And Other Contracts",1.36E+11
Income Security,Insurance Claims And Indemnities,1.34E+11
"Education, Training, Employment, And Social Services","Grants, Subsidies, And Contributions",1.01E+11
Medicare,Other,72753540117
Veterans Benefits And Services,Insurance Claims And Indemnities,65749018701
National Defense,Acquisition Of Assets,62561962161
Agriculture,Insurance Claims And Indemnities,59611857874
Health,"Advisory, R&D, Medical, And Other Contracts",52607700955
National Defense,Printing And Supplies,50638556800
Health,Insurance Claims And Indemnities,41679172235
Social Security,Other,37791849953
"Regional Development, Commerce, And Housing","Grants, Subsidies, And Contributions",37380583195
Transportation,"Grants, Subsidies, And Contributions",34591184616
General Government,Personnel Compensation And Benefits,34430423239
Health,Personnel Compensation And Benefits,31684010577
Veterans Benefits And Services,Personnel Compensation And Benefits,30063976695
National Defense,Other,29586020051
Administration Of Justice,Personnel Compensation And Benefits,26127723274
Natural Resources And Environment,Personnel Compensation And Benefits,25103865842
Agriculture,"Advisory, R&D, Medical, And Other Contracts",24346464270
Natural Resources And Environment,"Advisory, R&D, Medical, And Other Contracts",21433299000
International Affairs,"Grants, Subsidies, And Contributions",21158766305
"Energy, Science, Space, And Technology","Advisory, R&D, Medical, And Other Contracts",20815613967
International Affairs,"Advisory, R&D, Medical, And Other Contracts",20288826870
Agriculture,Personnel Compensation And Benefits,18789787744
Veterans Benefits And Services,"Advisory, R&D, Medical, And Other Contracts",18464413662
Transportation,Personnel Compensation And Benefits,18378843929
Administration Of Justice,"Advisory, R&D, Medical, And Other Contracts",13877567538
General Government,"Advisory, R&D, Medical, And Other Contracts",12950895900
Veterans Benefits And Services,"Grants, Subsidies, And Contributions",12676337926
Natural Resources And Environment,"Grants, Subsidies, And Contributions",11548629052
Transportation,Other,10539608189
National Defense,Travel And Transportation,10483834117
"Regional Development, Commerce, And Housing",Personnel Compensation And Benefits,9391109499
National Defense,"Rent, Communications, And Utilities",9147646884
Veterans Benefits And Services,Printing And Supplies,8879595562
General Government,"Rent, Communications, And Utilities",7384145537
Transportation,"Advisory, R&D, Medical, And Other Contracts",7344651699
"Regional Development, Commerce, And Housing","Advisory, R&D, Medical, And Other Contracts",7154164925
General Government,"Grants, Subsidies, And Contributions",6233005909
International Affairs,Personnel Compensation And Benefits,6212934873
Income Security,Printing And Supplies,5761263317
"Energy, Science, Space, And Technology","Grants, Subsidies, And Contributions",5532987698
Health,Printing And Supplies,5080050351
Income Security,"Advisory, R&D, Medical, And Other Contracts",5056520875
Social Security,Personnel Compensation And Benefits,5005625648
Agriculture,"Grants, Subsidies, And Contributions",4817586283
Administration Of Justice,"Rent, Communications, And Utilities",3821120808
"Energy, Science, Space, And Technology",Personnel Compensation And Benefits,3767638509
Natural Resources And Environment,Acquisition Of Assets,3570848383
General Government,Acquisition Of Assets,3480400867
International Affairs,Acquisition Of Assets,3431288973
Social Security,"Advisory, R&D, Medical, And Other Contracts",3404583850
"Education, Training, Employment, And Social Services","Advisory, R&D, Medical, And Other Contracts",2770424686
Income Security,Personnel Compensation And Benefits,2712580774
Veterans Benefits And Services,Acquisition Of Assets,2706360990
General Government,Insurance Claims And Indemnities,2610258295
Veterans Benefits And Services,"Rent, Communications, And Utilities",2581610715
General Government,Printing And Supplies,2570919007
National Defense,"Grants, Subsidies, And Contributions",2008944021
Net Interest,"Grants, Subsidies, And Contributions",1976479592
"Education, Training, Employment, And Social Services",Personnel Compensation And Benefits,1775118298
International Affairs,"Rent, Communications, And Utilities",1764955245
"Energy, Science, Space, And Technology",Travel And Transportation,1568908047
Natural Resources And Environment,"Rent, Communications, And Utilities",1470040892
Transportation,Acquisition Of Assets,1441522735
Administration Of Justice,Acquisition Of Assets,1375489433
"Regional Development, Commerce, And Housing",Insurance Claims And Indemnities,1353867485
Transportation,Printing And Supplies,1353559148
Natural Resources And Environment,Printing And Supplies,1334714407
Administration Of Justice,Printing And Supplies,1311217300
Administration Of Justice,Refunds,1309568562
Transportation,"Rent, Communications, And Utilities",1173078329
National Defense,Insurance Claims And Indemnities,1170460340
Medicare,"Advisory, R&D, Medical, And Other Contracts",1126581669
Veterans Benefits And Services,Travel And Transportation,1060288176
Natural Resources And Environment,Travel And Transportation,1049746084
International Affairs,Travel And Transportation,999697639.4
Administration Of Justice,Travel And Transportation,916153764.5
Health,"Rent, Communications, And Utilities",911789898.7
Agriculture,Printing And Supplies,896440605.2
Administration Of Justice,Insurance Claims And Indemnities,871743936.9
"Energy, Science, Space, And Technology",Acquisition Of Assets,855962571.8
Social Security,"Rent, Communications, And Utilities",849030975.6
Transportation,Travel And Transportation,831606703.4
Agriculture,Acquisition Of Assets,811204994.8
Social Security,"Grants, Subsidies, And Contributions",772983204.6
"Regional Development, Commerce, And Housing","Rent, Communications, And Utilities",763809412.1
Agriculture,"Rent, Communications, And Utilities",759876376.1
"Regional Development, Commerce, And Housing",Acquisition Of Assets,757022213
Income Security,Interest And Dividends,746862040.5
International Affairs,Printing And Supplies,708354454.5
Administration Of Justice,"Grants, Subsidies, And Contributions",663553444.9
General Government,Interest And Dividends,629113455.5
Agriculture,Travel And Transportation,580927756
Health,Travel And Transportation,482956947.5
"Regional Development, Commerce, And Housing",Travel And Transportation,437004383.6
National Defense,Refunds,426968333.1
"Regional Development, Commerce, And Housing",Printing And Supplies,387706639
Health,Acquisition Of Assets,319736864.7
Income Security,"Rent, Communications, And Utilities",304840388.4
"Regional Development, Commerce, And Housing",Interest And Dividends,302283545.8
Income Security,Refunds,293692797
"Energy, Science, Space, And Technology","Rent, Communications, And Utilities",289661048.3
Administration Of Justice,Other,278833411.6
"Education, Training, Employment, And Social Services",Other,271841347.6
"Education, Training, Employment, And Social Services","Rent, Communications, And Utilities",235288826.6
"Education, Training, Employment, And Social Services",Acquisition Of Assets,179407139.1
General Government,Travel And Transportation,170506259.9
"Energy, Science, Space, And Technology",Interest And Dividends,163163216.5
"Energy, Science, Space, And Technology",Printing And Supplies,153549506.5
Social Security,Acquisition Of Assets,137488801
Income Security,Acquisition Of Assets,130929848.1
Health,Refunds,87018880.19
Medicare,Personnel Compensation And Benefits,78843488.51
Natural Resources And Environment,Insurance Claims And Indemnities,75250710.59
Income Security,Travel And Transportation,62654165.18
Social Security,Printing And Supplies,50159360.92
Transportation,Insurance Claims And Indemnities,39883026.65
"Education, Training, Employment, And Social Services",Travel And Transportation,33783166.2
"Education, Training, Employment, And Social Services",Insurance Claims And Indemnities,33233605.12
International Affairs,Refunds,30310504.4
Veterans Benefits And Services,Other,24742028.7
"Energy, Science, Space, And Technology",Refunds,20555841.62
Social Security,Travel And Transportation,19354807.48
International Affairs,Insurance Claims And Indemnities,15626982.03
"Education, Training, Employment, And Social Services",Printing And Supplies,10356046.29
National Defense,Interest And Dividends,8314837.25
Transportation,Interest And Dividends,4958623.02
Medicare,"Rent, Communications, And Utilities",3548803.25
"Regional Development, Commerce, And Housing",Refunds,3116468.47
Agriculture,Interest And Dividends,2786181.35
Natural Resources And Environment,Interest And Dividends,2249767.73
Medicare,Refunds,1958751.32
"Energy, Science, Space, And Technology",Insurance Claims And Indemnities,784419.69
Health,Interest And Dividends,617629.69
Net Interest,"Advisory, R&D, Medical, And Other Contracts",481513
Medicare,Travel And Transportation,437230.24
Water Transportation,Personnel Compensation And Benefits,160390
