source,target,value
Income Security,"Grants, Subsidies, And Contributions",635309591976.07
Net Interest,Interest And Dividends,609288697390.20
Health,"Grants, Subsidies, And Contributions",608459794493.92
General Government,Refunds,474837638947.91
Social Security,Insurance Claims And Indemnities,463894356383.41
Medicare,Insurance Claims And Indemnities,398942660329.19
Medicare,"Grants, Subsidies, And Contributions",318527048266.78
National Defense,Personnel Compensation And Benefits,200754741994.18
National Defense,"Advisory, R&D, Medical, And Other Contracts",136727221991.65
Income Security,Insurance Claims And Indemnities,129024353326.85
Medicare,Other,118406209148.98
"Education, Training, Employment, And Social Services","Grants, Subsidies, And Contributions",108417360476.40
Health,Insurance Claims And Indemnities,70222143290.99
Veterans Benefits And Services,Insurance Claims And Indemnities,65749018701.14
National Defense,Acquisition Of Assets,62577631635.72
Social Security,Other,62231597811.43
Health,"Advisory, R&D, Medical, And Other Contracts",60909904259.55
Agriculture,Insurance Claims And Indemnities,59611857873.77
Transportation,"Grants, Subsidies, And Contributions",50826152995.42
National Defense,Printing And Supplies,50644343978.97
"Regional Development, Commerce, And Housing","Grants, Subsidies, And Contributions",39556176899.94
Administration Of Justice,Personnel Compensation And Benefits,37460761647.24
Health,Personnel Compensation And Benefits,37228784589.43
General Government,Personnel Compensation And Benefits,37152092294.32
Veterans Benefits And Services,Personnel Compensation And Benefits,30056524502.89
National Defense,Other,29586021359.95
International Affairs,"Grants, Subsidies, And Contributions",27892023104.69
Agriculture,"Advisory, R&D, Medical, And Other Contracts",24346235212.46
International Affairs,"Advisory, R&D, Medical, And Other Contracts",23593049290.95
Natural Resources And Environment,Personnel Compensation And Benefits,22173350299.76
"Energy, Science, Space, And Technology","Advisory, R&D, Medical, And Other Contracts",20815613966.86
Transportation,Personnel Compensation And Benefits,19300832290.52
Agriculture,Personnel Compensation And Benefits,18788973588.41
Veterans Benefits And Services,"Advisory, R&D, Medical, And Other Contracts",18440679979.49
Administration Of Justice,"Advisory, R&D, Medical, And Other Contracts",17684873319.69
Natural Resources And Environment,"Advisory, R&D, Medical, And Other Contracts",16914496777.97
General Government,"Advisory, R&D, Medical, And Other Contracts",15756237768.79
Veterans Benefits And Services,"Grants, Subsidies, And Contributions",12666429145.77
Natural Resources And Environment,"Grants, Subsidies, And Contributions",11918247993.95
"Regional Development, Commerce, And Housing",Personnel Compensation And Benefits,10678855031.06
National Defense,Travel And Transportation,10484134417.85
International Affairs,Personnel Compensation And Benefits,9654982256.70
National Defense,"Rent, Communications, And Utilities",9156669869.26
Transportation,"Advisory, R&D, Medical, And Other Contracts",9054292610.27
Veterans Benefits And Services,Printing And Supplies,8879552350.67
Health,Printing And Supplies,8867778601.98
"Regional Development, Commerce, And Housing","Advisory, R&D, Medical, And Other Contracts",8396011422.93
Social Security,Personnel Compensation And Benefits,8297645891.14
General Government,"Rent, Communications, And Utilities",8153124765.06
General Government,"Grants, Subsidies, And Contributions",8021419442.70
"Energy, Science, Space, And Technology","Grants, Subsidies, And Contributions",6311286994.31
International Affairs,Acquisition Of Assets,5853584851.84
Income Security,Printing And Supplies,5762301767.33
Social Security,"Advisory, R&D, Medical, And Other Contracts",5462458742.04
Income Security,"Advisory, R&D, Medical, And Other Contracts",5279357482.65
"Regional Development, Commerce, And Housing",Insurance Claims And Indemnities,4879630597.65
Administration Of Justice,"Rent, Communications, And Utilities",4813210626.92
Agriculture,"Grants, Subsidies, And Contributions",4812786283.19
General Government,Insurance Claims And Indemnities,4771952562.34
Transportation,Other,4432488534.79
General Government,Printing And Supplies,4077759481.67
"Energy, Science, Space, And Technology",Personnel Compensation And Benefits,3767638509.22
General Government,Acquisition Of Assets,3667203323.46
Net Interest,"Grants, Subsidies, And Contributions",3290635883.59
Income Security,Personnel Compensation And Benefits,2791929415.15
International Affairs,"Rent, Communications, And Utilities",2726425690.62
Veterans Benefits And Services,Acquisition Of Assets,2706358266.49
Veterans Benefits And Services,"Rent, Communications, And Utilities",2581362857.93
Natural Resources And Environment,Acquisition Of Assets,2400829182.90
Transportation,Acquisition Of Assets,2321020396.87
"Education, Training, Employment, And Social Services","Advisory, R&D, Medical, And Other Contracts",2260089458.83
Administration Of Justice,Refunds,2158389760.25
National Defense,"Grants, Subsidies, And Contributions",2128172921.88
Transportation,Printing And Supplies,2029245732.83
Medicare,"Advisory, R&D, Medical, And Other Contracts",1762085977.49
Administration Of Justice,Acquisition Of Assets,1575578023.71
"Energy, Science, Space, And Technology",Travel And Transportation,1568907083.14
"Education, Training, Employment, And Social Services",Personnel Compensation And Benefits,1553932937.93
International Affairs,Travel And Transportation,1503567425.74
Administration Of Justice,Printing And Supplies,1492767788.39
Health,"Rent, Communications, And Utilities",1417746279.96
Social Security,"Rent, Communications, And Utilities",1402874422.23
Administration Of Justice,Travel And Transportation,1368301511.36
Natural Resources And Environment,"Rent, Communications, And Utilities",1261667670.38
Transportation,"Rent, Communications, And Utilities",1220019117.79
Natural Resources And Environment,Printing And Supplies,1206651322.10
International Affairs,Printing And Supplies,1098490036.32
Veterans Benefits And Services,Travel And Transportation,1059728397.96
Transportation,Travel And Transportation,1050758886.38
"Regional Development, Commerce, And Housing","Rent, Communications, And Utilities",954243820.29
General Government,Interest And Dividends,951497445.92
Administration Of Justice,"Grants, Subsidies, And Contributions",924429585.46
"Regional Development, Commerce, And Housing",Acquisition Of Assets,901590343.13
