zip,value
10001,2370885
10002,2126714
10003,2594353
10004,2057841
10005,3805915
10006,1836405
10007,1683233
10008,1885231
10009,3814683
10010,1285533
10011,2604098
10012,2555603
10013,2909405
10014,1529660
10015,1850107
10016,3228044
10017,1857146
10018,1646934
10019,2619864
10020,1072272
10021,2844197
10022,1350873
10023,1376369
10024,2471506
10025,2289742
10026,2141534
10027,2318556
10028,1480901
10029,1878362
10030,1459738
10031,3970678
10032,3732000
10033,3026084
10034,2316670
10035,2211302
10036,1154621
10037,3145661
10038,3152526
10039,2828129
10040,2111730
10041,3597649
10042,2863460
10043,3076409
10044,1306026
10045,3159409
10046,1984915
10047,3314808
10048,3458405
10049,1735654
10050,2666168
10051,3271403
10052,2544613
10053,3819764
10054,1139350
10055,3302005
10056,1904255
10057,2882745
10058,2462985
10059,3779116
10060,2629829
10061,1109729
10062,2361297
10063,3501335
10064,3268787
10065,1287999
10066,1891318
10067,3394209
10068,3821542
10069,3746071
10070,3663983
10071,3723944
10072,1380085
10073,2295693
10074,3177736
10075,3015657
10076,2941262
10077,1995402
10078,2455328
10079,1100669
10080,3070826
10081,3906721
10082,1963159
10083,3920044
10084,1385110
10085,2325992
10086,1839882
10087,2867984
10088,3282838
10089,1109983
10090,2484891
10091,3628519
10092,1572760
10093,2009507
10094,1726505
10095,1035454
10096,1604071
10097,2843065
10098,2289548
10099,1324471
10100,3239026
10101,3542218
10102,1011616
10103,3223873
10104,3388131
10105,2799385
10106,3745910
10107,2495274
10108,2505114
10109,1870485
10110,1068567
10111,3826960
10112,3025673
10113,3486392
10114,2465013
10115,2163547
10116,2752694
10117,2941430
10118,1803391
10119,1793986
10120,2251561
10121,1210219
10122,3003723
10123,1260897
10124,2933655
10125,1290797
10126,2027354
10127,2968778
10128,1737488
10129,2246800
10130,2370801
10131,1049693
10132,2327549
10133,3545929
10134,2160338
10135,2669013
10136,2743573
10137,2161832
10138,2590227
10139,1670779
10140,2447581
10141,3928618
10142,3713370
10143,1080835
10144,2769960
10145,2147860
10146,1404612
10147,3959013
10148,2283522
10149,1180754
10150,2239503
10151,2547753
10152,1058602
10153,2213014
10154,3438609
10155,2325480
10156,2221255
10157,2696408
10158,1095365
10159,2139477
10160,3762547
10161,2625805
10162,2945101
10163,1384492
10164,1501384
10165,1011164
10166,2112191
10167,2642173
10168,3477769
10169,2808553
10170,2511748
10171,2671182
10172,3300013
10173,3265629
10174,3360060
10175,3683489
10176,2255975
10177,2730742
10178,3952571
10179,3578219
10180,3598686
10181,2449623
10182,2601433
10183,3251582
10184,1766368
10185,1629857
10186,1803503
10187,2266597
10188,2989924
10189,1014277
10190,1351670
10191,1429147
10192,2783082
10193,1566627
10194,3348353
10195,1809798
10196,2372760
10197,2830079
10198,3275497
10199,2787216
10200,1628564
10201,3883843
10202,2932071
10203,1658715
10204,3349357
10205,2514564
10206,1702546
10207,3981978
10208,2792984
10209,3049897
10210,3735202
10211,3028070
10212,1522220
10213,2160894
10214,3483318
10215,1560585
10216,2397135
